kuantitas,nilai_1,asal_1,nilai_2,asal_2,selisih,sebab
"Brier, Gradient Boosting, Model B, ambang 0.50",0.1657,"Table 2, lima seed (42, 1, 7, 13, 99)",0.1658,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0001,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Recall, Gradient Boosting, Model B, ambang 0.50",0.4589,"Table 2, lima seed (42, 1, 7, 13, 99)",0.4627,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0038,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"AUC, SVM (RBF), Model B, ambang 0.50",0.7827,"Table 2, lima seed (42, 1, 7, 13, 99)",0.7814,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",-0.0013,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Brier, SVM (RBF), Model B, ambang 0.50",0.1649,"Table 2, lima seed (42, 1, 7, 13, 99)",0.1656,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0007,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Recall, SVM (RBF), Model B, ambang 0.50",0.4336,"Table 2, lima seed (42, 1, 7, 13, 99)",0.4348,"Table 6 baris tanpa SMOTE, tiga seed (42, 1, 7)",+0.0012,"Kuantitas sama, jumlah seed berbeda. Table 2 merata-ratakan lima seed, Table 6 dan Section 3.7 merata-ratakan tiga seed karena menjalankan ulang setiap algoritma di bawah resampling menggandakan ongkos."
"Recall, Logistic Regression, Model B, ambang 0.50",0.4908,"Table 2, lima seed (42, 1, 7, 13, 99)",0.4918,"Table 4 baris ambang 0.50, seed tunggal (42)",+0.0010,"Kuantitas sama, Table 4 memakai seed tunggal 42 sedangkan Table 2 merata-ratakan lima seed. Analisis ambang sengaja memakai satu himpunan prediksi supaya cacah confusion matrix berupa bilangan bulat."
"Precision, Logistic Regression, Model B, ambang 0.50",0.6559,"Table 2, lima seed (42, 1, 7, 13, 99)",0.6571,"Table 4 baris ambang 0.50, seed tunggal (42)",+0.0012,"Kuantitas sama, Table 4 memakai seed tunggal 42 sedangkan Table 2 merata-ratakan lima seed. Analisis ambang sengaja memakai satu himpunan prediksi supaya cacah confusion matrix berupa bilangan bulat."
"F1, Logistic Regression, Model B, ambang 0.50",0.5614,"Table 2, lima seed (42, 1, 7, 13, 99)",0.5626,"Table 4 baris ambang 0.50, seed tunggal (42)",+0.0012,"Kuantitas sama, Table 4 memakai seed tunggal 42 sedangkan Table 2 merata-ratakan lima seed. Analisis ambang sengaja memakai satu himpunan prediksi supaya cacah confusion matrix berupa bilangan bulat."
"Accuracy, Logistic Regression, Model B, ambang 0.50",0.7669,"Table 2, lima seed (42, 1, 7, 13, 99)",0.7675,"Table 4 baris ambang 0.50, seed tunggal (42)",+0.0006,"Kuantitas sama, Table 4 memakai seed tunggal 42 sedangkan Table 2 merata-ratakan lima seed. Analisis ambang sengaja memakai satu himpunan prediksi supaya cacah confusion matrix berupa bilangan bulat."
"Recall, Logistic Regression, Model B, ambang 0.30",0.7220,"Table 4 dan Section 3.6, seed tunggal (42)",0.7270,"Section 3.7, tiga seed (42, 1, 7)",+0.0050,"Kuantitas sama pada ambang yang sama. Section 3.6 melaporkan seed tunggal supaya cacah defaulter berupa bilangan bulat, Section 3.7 melaporkan rerata tiga seed supaya sebanding dengan kondisi SMOTE."
Selisih AUC Model B dikurangi Model A,0.0099 sampai 0.0341,"prosa Section 3.2, selisih dari angka Table 2 yang SUDAH dibulatkan",0.0099 sampai 0.0340,hitungan presisi penuh sebelum pembulatan,sampai 0.0001,Selisih di prosa sengaja dihitung dari entri Table 2 supaya pembaca dapat mereproduksinya dari tabel. Membulatkan dulu lalu mengurangkan tidak selalu sama dengan mengurangkan lalu membulatkan. Simpangannya paling besar 0.0001 dan hanya mengenai logistic regression serta random forest.
Cacah confusion matrix pada ambang 0.30,"TP 439, FP 382, FN 169, TN 1010","Table 4 dan Section 3.6, seed tunggal (42)","TP 442, FP 383.33, FN 166, TN 1008.67","ambang_vs_smote.csv, rerata tiga seed (42, 1, 7)",pecahan muncul karena perataan,"Cacah pada seed tunggal berupa bilangan bulat, rerata tiga seed tidak. Naskah mengutip yang seed tunggal setiap kali menyebut jumlah anggota, sehingga angka yang muncul di prosa selalu dapat dijumlahkan."
